country,alpha2,subdivision,district,label,region,sub_country
United Kingdom,GB,00EQ,Cheshire East,United Kingdom - Cheshire East,North West,England
United Kingdom,GB,00EW,Cheshire West and Chester,United Kingdom - Cheshire West and Chester,North West,England
United Kingdom,GB,17UD,Chesterfield,United Kingdom - Chesterfield,East Midlands,England
United Kingdom,GB,45UD,Chichester,United Kingdom - Chichester,South East,England
United Kingdom,GB,11UC,Chiltern,United Kingdom - Chiltern,South East,England
United Kingdom,GB,30UE,Chorley,United Kingdom - Chorley,North West,England
United Kingdom,GB,19UC,Christchurch,United Kingdom - Christchurch,South West,England
United Kingdom,GB,00AA,City of London,United Kingdom - City of London,London,England
United Kingdom,GB,00QF,Clackmannanshire,United Kingdom - Clackmannanshire,,Scotland
United Kingdom,GB,22UG,Colchester,United Kingdom - Colchester,East of England,England
United Kingdom,GB,95C,Coleraine,United Kingdom - Coleraine,,Northern Ireland
United Kingdom,GB,00NE,Conwy,United Kingdom - Conwy,,Wales
United Kingdom,GB,95I,Cookstown,United Kingdom - Cookstown,,Northern Ireland
United Kingdom,GB,16UE,Copeland,United Kingdom - Copeland,North West,England
United Kingdom,GB,34UB,Corby,United Kingdom - Corby,East Midlands,England
United Kingdom,GB,00HE,Cornwall,United Kingdom - Cornwall,South West,England
United Kingdom,GB,23UC,Cotswold,United Kingdom - Cotswold,South West,England
United Kingdom,GB,00EJ,County Durham,United Kingdom - County Durham,North East,England
United Kingdom,GB,00CQ,Coventry,United Kingdom - Coventry,West Midlands,England
United Kingdom,GB,95N,Craigavon,United Kingdom - Craigavon,,Northern Ireland
United Kingdom,GB,36UB,Craven,United Kingdom - Craven,Yorkshire and The Humber,England
United Kingdom,GB,45UE,Crawley,United Kingdom - Crawley,South East,England
United Kingdom,GB,00AH,Croydon,United Kingdom - Croydon,London,England
United Kingdom,GB,26UC,Dacorum,United Kingdom - Dacorum,East of England,England
United Kingdom,GB,00EH,Darlington,United Kingdom - Darlington,North East,England
United Kingdom,GB,29UD,Dartford,United Kingdom - Dartford,South East,England
United Kingdom,GB,34UC,Daventry,United Kingdom - Daventry,East Midlands,England
United Kingdom,GB,00NG,Denbighshire,United Kingdom - Denbighshire,,Wales
United Kingdom,GB,00FK,Derby,United Kingdom - Derby,East Midlands,England
United Kingdom,GB,17UF,Derbyshire Dales,United Kingdom - Derbyshire Dales,East Midlands,England
United Kingdom,GB,95A,Derry,United Kingdom - Derry,,Northern Ireland
United Kingdom,GB,00CE,Doncaster,United Kingdom - Doncaster,Yorkshire and The Humber,England
United Kingdom,GB,29UE,Dover,United Kingdom - Dover,South East,England
United Kingdom,GB,95R,Down,United Kingdom - Down,,Northern Ireland
United Kingdom,GB,00CR,Dudley,United Kingdom - Dudley,West Midlands,England
United Kingdom,GB,00QH,Dumfries and Galloway,United Kingdom - Dumfries and Galloway,,Scotland
United Kingdom,GB,00QJ,Dundee City,United Kingdom - Dundee City,,Scotland
United Kingdom,GB,95M,Dungannon,United Kingdom - Dungannon,,Northern Ireland
United Kingdom,GB,00AJ,Ealing,United Kingdom - Ealing,London,England
United Kingdom,GB,00QK,East Ayrshire,United Kingdom - East Ayrshire,,Scotland
United Kingdom,GB,12UC,East Cambridgeshire,United Kingdom - East Cambridgeshire,East of England,England
United Kingdom,GB,18UB,East Devon,United Kingdom - East Devon,South West,England
United Kingdom,GB,19UD,East Dorset,United Kingdom - East Dorset,South West,England
United Kingdom,GB,00QL,East Dunbartonshire,United Kingdom - East Dunbartonshire,,Scotland
United Kingdom,GB,24UC,East Hampshire,United Kingdom - East Hampshire,South East,England
United Kingdom,GB,26UD,East Hertfordshire,United Kingdom - East Hertfordshire,East of England,England
United Kingdom,GB,32UC,East Lindsey,United Kingdom - East Lindsey,East Midlands,England
United Kingdom,GB,00QM,East Lothian,United Kingdom - East Lothian,,Scotland
United Kingdom,GB,34UD,East Northamptonshire,United Kingdom - East Northamptonshire,East Midlands,England
United Kingdom,GB,00QN,East Renfrewshire,United Kingdom - East Renfrewshire,,Scotland
United Kingdom,GB,00FB,East Riding of Yorkshire,United Kingdom - East Riding of Yorkshire,Yorkshire and The Humber,England
United Kingdom,GB,41UC,East Staffordshire,United Kingdom - East Staffordshire,West Midlands,England
United Kingdom,GB,21UC,Eastbourne,United Kingdom - Eastbourne,South East,England
United Kingdom,GB,24UD,Eastleigh,United Kingdom - Eastleigh,South East,England
United Kingdom,GB,16UF,Eden,United Kingdom - Eden,North West,England
United Kingdom,GB,"Edinburgh, City of",00QP,"United Kingdom - Edinburgh, City of",,Scotland
United Kingdom,GB,00RJ,Eilean Siar,United Kingdom - Eilean Siar,,Scotland
United Kingdom,GB,43UB,Elmbridge,United Kingdom - Elmbridge,South East,England
United Kingdom,GB,00AK,Enfield,United Kingdom - Enfield,London,England
United Kingdom,GB,22UH,Epping Forest,United Kingdom - Epping Forest,East of England,England
United Kingdom,GB,43UC,Epsom and Ewell,United Kingdom - Epsom and Ewell,South East,England
United Kingdom,GB,17UG,Erewash,United Kingdom - Erewash,East Midlands,England
United Kingdom,GB,18UC,Exeter,United Kingdom - Exeter,South West,England
United Kingdom,GB,00QQ,Falkirk,United Kingdom - Falkirk,,Scotland
United Kingdom,GB,24UE,Fareham,United Kingdom - Fareham,South East,England
United Kingdom,GB,12UD,Fenland,United Kingdom - Fenland,East of England,England
United Kingdom,GB,95L,Fermanagh,United Kingdom - Fermanagh,,Northern Ireland
United Kingdom,GB,00QR,Fife,United Kingdom - Fife,,Scotland
United Kingdom,GB,00NJ,Flintshire,United Kingdom - Flintshire,,Wales
United Kingdom,GB,42UC,Forest Heath,United Kingdom - Forest Heath,East of England,England
United Kingdom,GB,23UD,Forest of Dean,United Kingdom - Forest of Dean,South West,England
United Kingdom,GB,30UF,Fylde,United Kingdom - Fylde,North West,England
United Kingdom,GB,00CH,Gateshead,United Kingdom - Gateshead,North East,England
United Kingdom,GB,37UE,Gedling,United Kingdom - Gedling,East Midlands,England
United Kingdom,GB,00QS,Glasgow City,United Kingdom - Glasgow City,,Scotland
United Kingdom,GB,23UE,Gloucester,United Kingdom - Gloucester,South West,England
United Kingdom,GB,24UF,Gosport,United Kingdom - Gosport,South East,England
United Kingdom,GB,29UG,Gravesham,United Kingdom - Gravesham,South East,England
United Kingdom,GB,33UD,Great Yarmouth,United Kingdom - Great Yarmouth,East of England,England
United Kingdom,GB,00AL,Greenwich,United Kingdom - Greenwich,London,England
United Kingdom,GB,43UD,Guildford,United Kingdom - Guildford,South East,England
United Kingdom,GB,00NC,Gwynedd,United Kingdom - Gwynedd,,Wales
United Kingdom,GB,00AM,Hackney,United Kingdom - Hackney,London,England
United Kingdom,GB,00ET,Halton,United Kingdom - Halton,North West,England
United Kingdom,GB,36UC,Hambleton,United Kingdom - Hambleton,Yorkshire and The Humber,England
United Kingdom,GB,00AN,Hammersmith and Fulham,United Kingdom - Hammersmith and Fulham,London,England
United Kingdom,GB,31UD,Harborough,United Kingdom - Harborough,East Midlands,England
United Kingdom,GB,00AP,Haringey,United Kingdom - Haringey,London,England
United Kingdom,GB,22UJ,Harlow,United Kingdom - Harlow,East of England,England
United Kingdom,GB,36UD,Harrogate,United Kingdom - Harrogate,Yorkshire and The Humber,England
United Kingdom,GB,00AQ,Harrow,United Kingdom - Harrow,London,England
United Kingdom,GB,24UG,Hart,United Kingdom - Hart,South East,England
United Kingdom,GB,00EB,Hartlepool,United Kingdom - Hartlepool,North East,England
United Kingdom,GB,21UD,Hastings,United Kingdom - Hastings,South East,England
United Kingdom,GB,24UH,Havant,United Kingdom - Havant,South East,England
United Kingdom,GB,00AR,Havering,United Kingdom - Havering,London,England
United Kingdom,GB,"Herefordshire, County of",00GA,"United Kingdom - Herefordshire, County of",West Midlands,England
United Kingdom,GB,26UE,Hertsmere,United Kingdom - Hertsmere,East of England,England
United Kingdom,GB,17UH,High Peak,United Kingdom - High Peak,East Midlands,England
United Kingdom,GB,00QT,Highland,United Kingdom - Highland,,Scotland
United Kingdom,GB,00AS,Hillingdon,United Kingdom - Hillingdon,London,England
United Kingdom,GB,31UE,Hinckley and Bosworth,United Kingdom - Hinckley and Bosworth,East Midlands,England
United Kingdom,GB,45UF,Horsham,United Kingdom - Horsham,South East,England
United Kingdom,GB,00AT,Hounslow,United Kingdom - Hounslow,London,England
United Kingdom,GB,12UE,Huntingdonshire,United Kingdom - Huntingdonshire,East of England,England
United Kingdom,GB,30UG,Hyndburn,United Kingdom - Hyndburn,North West,England
United Kingdom,GB,00QU,Inverclyde,United Kingdom - Inverclyde,,Scotland
United Kingdom,GB,42UD,Ipswich,United Kingdom - Ipswich,East of England,England
United Kingdom,GB,00NA,Isle of Anglesey,United Kingdom - Isle of Anglesey,,Wales
United Kingdom,GB,00MW,Isle of Wight,United Kingdom - Isle of Wight,South East,England
United Kingdom,GB,00HF,Isles of Scilly,United Kingdom - Isles of Scilly,South West,England
United Kingdom,GB,00AU,Islington,United Kingdom - Islington,London,England
United Kingdom,GB,00AW,Kensington and Chelsea,United Kingdom - Kensington and Chelsea,London,England
United Kingdom,GB,34UE,Kettering,United Kingdom - Kettering,East Midlands,England
United Kingdom,GB,33UE,King's Lynn and West Norfolk,United Kingdom - King's Lynn and West Norfolk,East of England,England
United Kingdom,GB,"Kingston upon Hull, City of",00FA,"United Kingdom - Kingston upon Hull, City of",Yorkshire and The Humber,England
United Kingdom,GB,00AX,Kingston upon Thames,United Kingdom - Kingston upon Thames,London,England
United Kingdom,GB,00CZ,Kirklees,United Kingdom - Kirklees,Yorkshire and The Humber,England
United Kingdom,GB,00BX,Knowsley,United Kingdom - Knowsley,North West,England
United Kingdom,GB,00AY,Lambeth,United Kingdom - Lambeth,London,England
United Kingdom,GB,30UH,Lancaster,United Kingdom - Lancaster,North West,England
United Kingdom,GB,95F,Larne,United Kingdom - Larne,,Northern Ireland
United Kingdom,GB,00DA,Leeds,United Kingdom - Leeds,Yorkshire and The Humber,England
United Kingdom,GB,00FN,Leicester,United Kingdom - Leicester,East Midlands,England
United Kingdom,GB,21UF,Lewes,United Kingdom - Lewes,South East,England
United Kingdom,GB,00AZ,Lewisham,United Kingdom - Lewisham,London,England
United Kingdom,GB,41UD,Lichfield,United Kingdom - Lichfield,West Midlands,England
United Kingdom,GB,95B,Limavady,United Kingdom - Limavady,,Northern Ireland
United Kingdom,GB,32UD,Lincoln,United Kingdom - Lincoln,East Midlands,England
United Kingdom,GB,95S,Lisburn,United Kingdom - Lisburn,,Northern Ireland
United Kingdom,GB,00BY,Liverpool,United Kingdom - Liverpool,North West,England
United Kingdom,GB,00KA,Luton,United Kingdom - Luton,East of England,England
United Kingdom,GB,95H,Magherafelt,United Kingdom - Magherafelt,,Northern Ireland
United Kingdom,GB,29UH,Maidstone,United Kingdom - Maidstone,South East,England
United Kingdom,GB,22UK,Maldon,United Kingdom - Maldon,East of England,England
United Kingdom,GB,47UC,Malvern Hills,United Kingdom - Malvern Hills,West Midlands,England
United Kingdom,GB,00BN,Manchester,United Kingdom - Manchester,North West,England
United Kingdom,GB,37UF,Mansfield,United Kingdom - Mansfield,East Midlands,England
United Kingdom,GB,00LC,Medway,United Kingdom - Medway,South East,England
United Kingdom,GB,31UG,Melton,United Kingdom - Melton,East Midlands,England
United Kingdom,GB,40UB,Mendip,United Kingdom - Mendip,South West,England
United Kingdom,GB,00PH,Merthyr Tydfil,United Kingdom - Merthyr Tydfil,,Wales
United Kingdom,GB,00BA,Merton,United Kingdom - Merton,London,England
United Kingdom,GB,18UD,Mid Devon,United Kingdom - Mid Devon,South West,England
United Kingdom,GB,42UE,Mid Suffolk,United Kingdom - Mid Suffolk,East of England,England
United Kingdom,GB,45UG,Mid Sussex,United Kingdom - Mid Sussex,South East,England
United Kingdom,GB,00EC,Middlesbrough,United Kingdom - Middlesbrough,North East,England
United Kingdom,GB,00QW,Midlothian,United Kingdom - Midlothian,,Scotland
United Kingdom,GB,00MG,Milton Keynes,United Kingdom - Milton Keynes,South East,England
United Kingdom,GB,43UE,Mole Valley,United Kingdom - Mole Valley,South East,England
United Kingdom,GB,00PP,Monmouthshire,United Kingdom - Monmouthshire,,Wales
United Kingdom,GB,00QX,Moray,United Kingdom - Moray,,Scotland
United Kingdom,GB,95E,Moyle,United Kingdom - Moyle,,Northern Ireland
United Kingdom,GB,00NZ,Neath Port Talbot,United Kingdom - Neath Port Talbot,,Wales
United Kingdom,GB,24UJ,New Forest,United Kingdom - New Forest,South East,England
United Kingdom,GB,37UG,Newark and Sherwood,United Kingdom - Newark and Sherwood,East Midlands,England
United Kingdom,GB,00CJ,Newcastle upon Tyne,United Kingdom - Newcastle upon Tyne,North East,England
United Kingdom,GB,41UE,Newcastle-under-Lyme,United Kingdom - Newcastle-under-Lyme,West Midlands,England
United Kingdom,GB,00BB,Newham,United Kingdom - Newham,London,England
United Kingdom,GB,00PR,Newport,United Kingdom - Newport,,Wales
United Kingdom,GB,95P,Newry and Mourne,United Kingdom - Newry and Mourne,,Northern Ireland
United Kingdom,GB,95U,Newtownabbey,United Kingdom - Newtownabbey,,Northern Ireland
United Kingdom,GB,00QY,North Ayrshire,United Kingdom - North Ayrshire,,Scotland
United Kingdom,GB,18UE,North Devon,United Kingdom - North Devon,South West,England
United Kingdom,GB,19UE,North Dorset,United Kingdom - North Dorset,South West,England
United Kingdom,GB,95W,North Down,United Kingdom - North Down,,Northern Ireland
United Kingdom,GB,17UJ,North East Derbyshire,United Kingdom - North East Derbyshire,East Midlands,England
United Kingdom,GB,00FC,North East Lincolnshire,United Kingdom - North East Lincolnshire,Yorkshire and The Humber,England
United Kingdom,GB,26UF,North Hertfordshire,United Kingdom - North Hertfordshire,East of England,England
United Kingdom,GB,32UE,North Kesteven,United Kingdom - North Kesteven,East Midlands,England
United Kingdom,GB,00QZ,North Lanarkshire,United Kingdom - North Lanarkshire,,Scotland
United Kingdom,GB,00FD,North Lincolnshire,United Kingdom - North Lincolnshire,Yorkshire and The Humber,England
United Kingdom,GB,33UF,North Norfolk,United Kingdom - North Norfolk,East of England,England
United Kingdom,GB,00HC,North Somerset,United Kingdom - North Somerset,South West,England
United Kingdom,GB,00CK,North Tyneside,United Kingdom - North Tyneside,North East,England
United Kingdom,GB,44UB,North Warwickshire,United Kingdom - North Warwickshire,West Midlands,England
United Kingdom,GB,31UH,North West Leicestershire,United Kingdom - North West Leicestershire,East Midlands,England
United Kingdom,GB,34UF,Northampton,United Kingdom - Northampton,East Midlands,England
United Kingdom,GB,00EM,Northumberland,United Kingdom - Northumberland,North East,England
United Kingdom,GB,33UG,Norwich,United Kingdom - Norwich,East of England,England
United Kingdom,GB,00FY,Nottingham,United Kingdom - Nottingham,East Midlands,England
United Kingdom,GB,44UC,Nuneaton and Bedworth,United Kingdom - Nuneaton and Bedworth,West Midlands,England
United Kingdom,GB,31UJ,Oadby and Wigston,United Kingdom - Oadby and Wigston,East Midlands,England
United Kingdom,GB,00BP,Oldham,United Kingdom - Oldham,North West,England
United Kingdom,GB,95K,Omagh,United Kingdom - Omagh,,Northern Ireland
United Kingdom,GB,00RA,Orkney Islands,United Kingdom - Orkney Islands,,Scotland
United Kingdom,GB,38UC,Oxford,United Kingdom - Oxford,South East,England
United Kingdom,GB,00NS,Pembrokeshire,United Kingdom - Pembrokeshire,,Wales
United Kingdom,GB,30UJ,Pendle,United Kingdom - Pendle,North West,England
United Kingdom,GB,00RB,Perth and Kinross,United Kingdom - Perth and Kinross,,Scotland
United Kingdom,GB,00JA,Peterborough,United Kingdom - Peterborough,East of England,England
United Kingdom,GB,00HG,Plymouth,United Kingdom - Plymouth,South West,England
United Kingdom,GB,00HP,Poole,United Kingdom - Poole,South West,England
United Kingdom,GB,00MR,Portsmouth,United Kingdom - Portsmouth,South East,England
United Kingdom,GB,00NN,Powys,United Kingdom - Powys,,Wales
United Kingdom,GB,30UK,Preston,United Kingdom - Preston,North West,England
United Kingdom,GB,19UG,Purbeck,United Kingdom - Purbeck,South West,England
United Kingdom,GB,00MC,Reading,United Kingdom - Reading,South East,England
United Kingdom,GB,00BC,Redbridge,United Kingdom - Redbridge,London,England
United Kingdom,GB,00EE,Redcar and Cleveland,United Kingdom - Redcar and Cleveland,North East,England
United Kingdom,GB,47UD,Redditch,United Kingdom - Redditch,West Midlands,England
United Kingdom,GB,43UF,Reigate and Banstead,United Kingdom - Reigate and Banstead,South East,England
United Kingdom,GB,00RC,Renfrewshire,United Kingdom - Renfrewshire,,Scotland
United Kingdom,GB,00PF,Rhondda Cynon Taf,United Kingdom - Rhondda Cynon Taf,,Wales
United Kingdom,GB,30UL,Ribble Valley,United Kingdom - Ribble Valley,North West,England
United Kingdom,GB,00BD,Richmond upon Thames,United Kingdom - Richmond upon Thames,London,England
United Kingdom,GB,36UE,Richmondshire,United Kingdom - Richmondshire,Yorkshire and The Humber,England
United Kingdom,GB,00BQ,Rochdale,United Kingdom - Rochdale,North West,England
United Kingdom,GB,22UL,Rochford,United Kingdom - Rochford,East of England,England
United Kingdom,GB,30UM,Rossendale,United Kingdom - Rossendale,North West,England
United Kingdom,GB,21UG,Rother,United Kingdom - Rother,South East,England
United Kingdom,GB,00CF,Rotherham,United Kingdom - Rotherham,Yorkshire and The Humber,England
United Kingdom,GB,44UD,Rugby,United Kingdom - Rugby,West Midlands,England
United Kingdom,GB,43UG,Runnymede,United Kingdom - Runnymede,South East,England
United Kingdom,GB,37UJ,Rushcliffe,United Kingdom - Rushcliffe,East Midlands,England
United Kingdom,GB,24UL,Rushmoor,United Kingdom - Rushmoor,South East,England
United Kingdom,GB,00FP,Rutland,United Kingdom - Rutland,East Midlands,England
United Kingdom,GB,36UF,Ryedale,United Kingdom - Ryedale,Yorkshire and The Humber,England
United Kingdom,GB,00BR,Salford,United Kingdom - Salford,North West,England
United Kingdom,GB,00CS,Sandwell,United Kingdom - Sandwell,West Midlands,England
United Kingdom,GB,36UG,Scarborough,United Kingdom - Scarborough,Yorkshire and The Humber,England
United Kingdom,GB,00QE,Scottish Borders,United Kingdom - Scottish Borders,,Scotland
United Kingdom,GB,40UC,Sedgemoor,United Kingdom - Sedgemoor,South West,England
United Kingdom,GB,00CA,Sefton,United Kingdom - Sefton,North West,England
United Kingdom,GB,36UH,Selby,United Kingdom - Selby,Yorkshire and The Humber,England
United Kingdom,GB,29UK,Sevenoaks,United Kingdom - Sevenoaks,South East,England
United Kingdom,GB,00CG,Sheffield,United Kingdom - Sheffield,Yorkshire and The Humber,England
United Kingdom,GB,29UL,Shepway,United Kingdom - Shepway,South East,England
United Kingdom,GB,00RD,Shetland Islands,United Kingdom - Shetland Islands,,Scotland
United Kingdom,GB,00GG,Shropshire,United Kingdom - Shropshire,West Midlands,England
United Kingdom,GB,00MD,Slough,United Kingdom - Slough,South East,England
United Kingdom,GB,00CT,Solihull,United Kingdom - Solihull,West Midlands,England
United Kingdom,GB,00RE,South Ayrshire,United Kingdom - South Ayrshire,,Scotland
United Kingdom,GB,11UE,South Bucks,United Kingdom - South Bucks,South East,England
United Kingdom,GB,12UG,South Cambridgeshire,United Kingdom - South Cambridgeshire,East of England,England
United Kingdom,GB,17UK,South Derbyshire,United Kingdom - South Derbyshire,East Midlands,England
United Kingdom,GB,00HD,South Gloucestershire,United Kingdom - South Gloucestershire,South West,England
United Kingdom,GB,18UG,South Hams,United Kingdom - South Hams,South West,England
United Kingdom,GB,32UF,South Holland,United Kingdom - South Holland,East Midlands,England
United Kingdom,GB,32UG,South Kesteven,United Kingdom - South Kesteven,East Midlands,England
United Kingdom,GB,16UG,South Lakeland,United Kingdom - South Lakeland,North West,England
United Kingdom,GB,00RF,South Lanarkshire,United Kingdom - South Lanarkshire,,Scotland
United Kingdom,GB,33UH,South Norfolk,United Kingdom - South Norfolk,East of England,England
United Kingdom,GB,34UG,South Northamptonshire,United Kingdom - South Northamptonshire,East Midlands,England
United Kingdom,GB,38UD,South Oxfordshire,United Kingdom - South Oxfordshire,South East,England
United Kingdom,GB,30UN,South Ribble,United Kingdom - South Ribble,North West,England
United Kingdom,GB,40UD,South Somerset,United Kingdom - South Somerset,South West,England
United Kingdom,GB,41UF,South Staffordshire,United Kingdom - South Staffordshire,West Midlands,England
United Kingdom,GB,00CL,South Tyneside,United Kingdom - South Tyneside,North East,England
United Kingdom,GB,00MS,Southampton,United Kingdom - Southampton,South East,England
United Kingdom,GB,00KF,Southend-on-Sea,United Kingdom - Southend-on-Sea,East of England,England
United Kingdom,GB,00BE,Southwark,United Kingdom - Southwark,London,England
United Kingdom,GB,43UH,Spelthorne,United Kingdom - Spelthorne,South East,England
United Kingdom,GB,26UG,St Albans,United Kingdom - St Albans,East of England,England
United Kingdom,GB,42UF,St Edmundsbury,United Kingdom - St Edmundsbury,East of England,England
United Kingdom,GB,00BZ,St. Helens,United Kingdom - St. Helens,North West,England
United Kingdom,GB,41UG,Stafford,United Kingdom - Stafford,West Midlands,England
United Kingdom,GB,41UH,Staffordshire Moorlands,United Kingdom - Staffordshire Moorlands,West Midlands,England
United Kingdom,GB,26UH,Stevenage,United Kingdom - Stevenage,East of England,England
United Kingdom,GB,00RG,Stirling,United Kingdom - Stirling,,Scotland
United Kingdom,GB,00BS,Stockport,United Kingdom - Stockport,North West,England
United Kingdom,GB,00EF,Stockton-on-Tees,United Kingdom - Stockton-on-Tees,North East,England
United Kingdom,GB,00GL,Stoke-on-Trent,United Kingdom - Stoke-on-Trent,West Midlands,England
United Kingdom,GB,95J,Strabane,United Kingdom - Strabane,,Northern Ireland
United Kingdom,GB,44UE,Stratford-on-Avon,United Kingdom - Stratford-on-Avon,West Midlands,England
United Kingdom,GB,23UF,Stroud,United Kingdom - Stroud,South West,England
United Kingdom,GB,42UG,Suffolk Coastal,United Kingdom - Suffolk Coastal,East of England,England
United Kingdom,GB,00CM,Sunderland,United Kingdom - Sunderland,North East,England
United Kingdom,GB,43UJ,Surrey Heath,United Kingdom - Surrey Heath,South East,England
United Kingdom,GB,00BF,Sutton,United Kingdom - Sutton,London,England
United Kingdom,GB,29UM,Swale,United Kingdom - Swale,South East,England
United Kingdom,GB,00NX,Swansea,United Kingdom - Swansea,,Wales
United Kingdom,GB,00HX,Swindon,United Kingdom - Swindon,South West,England
United Kingdom,GB,00BT,Tameside,United Kingdom - Tameside,North West,England
United Kingdom,GB,41UK,Tamworth,United Kingdom - Tamworth,West Midlands,England
United Kingdom,GB,43UK,Tandridge,United Kingdom - Tandridge,South East,England
United Kingdom,GB,40UE,Taunton Deane,United Kingdom - Taunton Deane,South West,England
United Kingdom,GB,18UH,Teignbridge,United Kingdom - Teignbridge,South West,England
United Kingdom,GB,00GF,Telford and Wrekin,United Kingdom - Telford and Wrekin,West Midlands,England
United Kingdom,GB,22UN,Tendring,United Kingdom - Tendring,East of England,England
United Kingdom,GB,24UN,Test Valley,United Kingdom - Test Valley,South East,England
United Kingdom,GB,23UG,Tewkesbury,United Kingdom - Tewkesbury,South West,England
United Kingdom,GB,29UN,Thanet,United Kingdom - Thanet,South East,England
United Kingdom,GB,00PD,The Vale of Glamorgan,United Kingdom - The Vale of Glamorgan,,Wales
United Kingdom,GB,26UJ,Three Rivers,United Kingdom - Three Rivers,East of England,England
United Kingdom,GB,00KG,Thurrock,United Kingdom - Thurrock,East of England,England
United Kingdom,GB,29UP,Tonbridge and Malling,United Kingdom - Tonbridge and Malling,South East,England
United Kingdom,GB,00HH,Torbay,United Kingdom - Torbay,South West,England
United Kingdom,GB,00PM,Torfaen,United Kingdom - Torfaen,,Wales
United Kingdom,GB,18UK,Torridge,United Kingdom - Torridge,South West,England
United Kingdom,GB,00BG,Tower Hamlets,United Kingdom - Tower Hamlets,London,England
United Kingdom,GB,00BU,Trafford,United Kingdom - Trafford,North West,England
United Kingdom,GB,29UQ,Tunbridge Wells,United Kingdom - Tunbridge Wells,South East,England
United Kingdom,GB,22UQ,Uttlesford,United Kingdom - Uttlesford,East of England,England
United Kingdom,GB,38UE,Vale of White Horse,United Kingdom - Vale of White Horse,South East,England
United Kingdom,GB,00DB,Wakefield,United Kingdom - Wakefield,Yorkshire and The Humber,England
United Kingdom,GB,00CU,Walsall,United Kingdom - Walsall,West Midlands,England
United Kingdom,GB,00BH,Waltham Forest,United Kingdom - Waltham Forest,London,England
United Kingdom,GB,00BJ,Wandsworth,United Kingdom - Wandsworth,London,England
United Kingdom,GB,00EU,Warrington,United Kingdom - Warrington,North West,England
United Kingdom,GB,44UF,Warwick,United Kingdom - Warwick,West Midlands,England
United Kingdom,GB,26UK,Watford,United Kingdom - Watford,East of England,England
United Kingdom,GB,42UH,Waveney,United Kingdom - Waveney,East of England,England
United Kingdom,GB,43UL,Waverley,United Kingdom - Waverley,South East,England
United Kingdom,GB,21UH,Wealden,United Kingdom - Wealden,South East,England
United Kingdom,GB,34UH,Wellingborough,United Kingdom - Wellingborough,East Midlands,England
United Kingdom,GB,26UL,Welwyn Hatfield,United Kingdom - Welwyn Hatfield,East of England,England
United Kingdom,GB,00MB,West Berkshire,United Kingdom - West Berkshire,South East,England
United Kingdom,GB,18UL,West Devon,United Kingdom - West Devon,South West,England
United Kingdom,GB,19UH,West Dorset,United Kingdom - West Dorset,South West,England
United Kingdom,GB,00QG,West Dunbartonshire,United Kingdom - West Dunbartonshire,,Scotland
United Kingdom,GB,30UP,West Lancashire,United Kingdom - West Lancashire,North West,England
United Kingdom,GB,32UH,West Lindsey,United Kingdom - West Lindsey,East Midlands,England
United Kingdom,GB,00RH,West Lothian,United Kingdom - West Lothian,,Scotland
United Kingdom,GB,38UF,West Oxfordshire,United Kingdom - West Oxfordshire,South East,England
United Kingdom,GB,40UF,West Somerset,United Kingdom - West Somerset,South West,England
United Kingdom,GB,00BK,Westminster,United Kingdom - Westminster,London,England
United Kingdom,GB,19UJ,Weymouth and Portland,United Kingdom - Weymouth and Portland,South West,England
United Kingdom,GB,00BW,Wigan,United Kingdom - Wigan,North West,England
United Kingdom,GB,00HY,Wiltshire,United Kingdom - Wiltshire,South West,England
United Kingdom,GB,24UP,Winchester,United Kingdom - Winchester,South East,England
United Kingdom,GB,00ME,Windsor and Maidenhead,United Kingdom - Windsor and Maidenhead,South East,England
United Kingdom,GB,00CB,Wirral,United Kingdom - Wirral,North West,England
United Kingdom,GB,43UM,Woking,United Kingdom - Woking,South East,England
United Kingdom,GB,00MF,Wokingham,United Kingdom - Wokingham,South East,England
United Kingdom,GB,00CW,Wolverhampton,United Kingdom - Wolverhampton,West Midlands,England
United Kingdom,GB,47UE,Worcester,United Kingdom - Worcester,West Midlands,England
United Kingdom,GB,45UH,Worthing,United Kingdom - Worthing,South East,England
United Kingdom,GB,00NL,Wrexham,United Kingdom - Wrexham,,Wales
United Kingdom,GB,47UF,Wychavon,United Kingdom - Wychavon,West Midlands,England
United Kingdom,GB,11UF,Wycombe,United Kingdom - Wycombe,South East,England
United Kingdom,GB,30UQ,Wyre,United Kingdom - Wyre,North West,England
United Kingdom,GB,47UG,Wyre Forest,United Kingdom - Wyre Forest,West Midlands,England
United Kingdom,GB,00FF,York,United Kingdom - York,Yorkshire and The Humber,England
Grenada,GD,1,Saint Andrew,Grenada - Saint Andrew,,
Grenada,GD,2,Saint David,Grenada - Saint David,,
Grenada,GD,3,Saint George,Grenada - Saint George,,
Grenada,GD,4,Saint John,Grenada - Saint John,,
Grenada,GD,5,Saint Mark,Grenada - Saint Mark,,
Grenada,GD,6,Saint Patrick,Grenada - Saint Patrick,,
Grenada,GD,10,Southern Grenadine Islands,Grenada - Southern Grenadine Islands,,
Georgia,GE,AB,Abkhazia,Georgia - Abkhazia,,
Georgia,GE,AJ,Ajaria,Georgia - Ajaria,,
Georgia,GE,GU,Guria,Georgia - Guria,,
Georgia,GE,IM,Imeret'i,Georgia - Imeret'i,,
Georgia,GE,KA,Kakhet'i,Georgia - Kakhet'i,,
