country,alpha2,subdivision,district,label,region,sub_country
Armenia,AM,SU,Syunik',Armenia - Syunik',,
Armenia,AM,TV,Tavu_,Armenia - Tavu_,,
Armenia,AM,VD,Vayoc Jor,Armenia - Vayoc Jor,,
Angola,AO,BGO,Bengo,Angola - Bengo,,
Angola,AO,BGU,Benguela,Angola - Benguela,,
Angola,AO,BIE,Bi_,Angola - Bi_,,
Angola,AO,CAB,Cabinda,Angola - Cabinda,,
Angola,AO,CCU,Cuando-Cubango,Angola - Cuando-Cubango,,
Angola,AO,CNN,Cunene,Angola - Cunene,,
Angola,AO,CNO,Cuanza Norte,Angola - Cuanza Norte,,
Angola,AO,CUS,Cuanza Sul,Angola - Cuanza Sul,,
Angola,AO,HUA,Huambo,Angola - Huambo,,
Angola,AO,HUI,Hula,Angola - Hula,,
Angola,AO,LNO,Lunda Norte,Angola - Lunda Norte,,
Angola,AO,LSU,Lunda Sul,Angola - Lunda Sul,,
Angola,AO,LUA,Luanda,Angola - Luanda,,
Angola,AO,MAL,Malange,Angola - Malange,,
Angola,AO,MOX,Moxico,Angola - Moxico,,
Angola,AO,NAM,Namibe,Angola - Namibe,,
Angola,AO,UIG,Uge,Angola - Uge,,
Angola,AO,ZAI,Zaire,Angola - Zaire,,
Argentina,AR,A,Salta,Argentina - Salta,,
Argentina,AR,B,Buenos Aires,Argentina - Buenos Aires,,
Argentina,AR,C,Ciudad Autnoma de Buenos Aires,Argentina - Ciudad Autnoma de Buenos Aires,,
Argentina,AR,D,San Luis,Argentina - San Luis,,
Argentina,AR,E,Entre Ros,Argentina - Entre Ros,,
Argentina,AR,F,La Rioja,Argentina - La Rioja,,
Argentina,AR,G,Santiago del Estero,Argentina - Santiago del Estero,,
Argentina,AR,H,Chaco,Argentina - Chaco,,
Argentina,AR,J,San Juan,Argentina - San Juan,,
Argentina,AR,K,Catamarca,Argentina - Catamarca,,
Argentina,AR,L,La Pampa,Argentina - La Pampa,,
Argentina,AR,M,Mendoza,Argentina - Mendoza,,
Argentina,AR,N,Misiones,Argentina - Misiones,,
Argentina,AR,P,Formosa,Argentina - Formosa,,
Argentina,AR,Q,Neuqu_n,Argentina - Neuqu_n,,
Argentina,AR,R,Ro Negro,Argentina - Ro Negro,,
Argentina,AR,S,Santa Fe,Argentina - Santa Fe,,
Argentina,AR,T,Tucumn,Argentina - Tucumn,,
Argentina,AR,U,Chubut,Argentina - Chubut,,
Argentina,AR,V,Tierra del Fuego,Argentina - Tierra del Fuego,,
Argentina,AR,W,Corrientes,Argentina - Corrientes,,
Argentina,AR,X,Crdoba,Argentina - Crdoba,,
Argentina,AR,Y,Jujuy,Argentina - Jujuy,,
Argentina,AR,Z,Santa Cruz,Argentina - Santa Cruz,,
Austria,AT,1,Burgenland,Austria - Burgenland,,
Austria,AT,2,K_rnten,Austria - K_rnten,,
Austria,AT,3,Nieder_sterreich,Austria - Nieder_sterreich,,
Austria,AT,4,Ober_sterreich,Austria - Ober_sterreich,,
Austria,AT,5,Salzburg,Austria - Salzburg,,
Austria,AT,6,Steiermark,Austria - Steiermark,,
Austria,AT,7,Tirol,Austria - Tirol,,
Austria,AT,8,Vorarlberg,Austria - Vorarlberg,,
Austria,AT,9,Wien,Austria - Wien,,
Australia,AU,ACT,Australian Capital Territory,Australia - Australian Capital Territory,,
Australia,AU,NSW,New South Wales,Australia - New South Wales,,
Australia,AU,NT,Northern Territory,Australia - Northern Territory,,
Australia,AU,QLD,Queensland,Australia - Queensland,,
Australia,AU,SA,South Australia,Australia - South Australia,,
Australia,AU,TAS,Tasmania,Australia - Tasmania,,
Australia,AU,VIC,Victoria,Australia - Victoria,,
Australia,AU,WA,Western Australia,Australia - Western Australia,,
Azerbaijan,AZ,ABS,Abseron,Azerbaijan - Abseron,,
Azerbaijan,AZ,AGA,Agstafa,Azerbaijan - Agstafa,,
Azerbaijan,AZ,AGC,Agcab?di,Azerbaijan - Agcab?di,,
Azerbaijan,AZ,AGM,Agdam,Azerbaijan - Agdam,,
Azerbaijan,AZ,AGS,Agdas,Azerbaijan - Agdas,,
Azerbaijan,AZ,AGU,Agsu,Azerbaijan - Agsu,,
Azerbaijan,AZ,AST,Astara,Azerbaijan - Astara,,
Azerbaijan,AZ,BA,Baki,Azerbaijan - Baki,,
Azerbaijan,AZ,BAB,Bab?k,Azerbaijan - Bab?k,,
Azerbaijan,AZ,BAL,Balak?n,Azerbaijan - Balak?n,,
Azerbaijan,AZ,BAR,B?rd?,Azerbaijan - B?rd?,,
Azerbaijan,AZ,BEY,Beyl?qan,Azerbaijan - Beyl?qan,,
Azerbaijan,AZ,BIL,Bil?suvar,Azerbaijan - Bil?suvar,,
Azerbaijan,AZ,CAB,C?brayil,Azerbaijan - C?brayil,,
Azerbaijan,AZ,CAL,C?lilabad,Azerbaijan - C?lilabad,,
Azerbaijan,AZ,CUL,Culfa,Azerbaijan - Culfa,,
Azerbaijan,AZ,DAS,Dask?s?n,Azerbaijan - Dask?s?n,,
Azerbaijan,AZ,FUZ,Fzuli,Azerbaijan - Fzuli,,
Azerbaijan,AZ,GA,G?nc?,Azerbaijan - G?nc?,,
Azerbaijan,AZ,GAD,G?d?b?y,Azerbaijan - G?d?b?y,,
Azerbaijan,AZ,GOR,Goranboy,Azerbaijan - Goranboy,,
Azerbaijan,AZ,GOY,G_yay,Azerbaijan - G_yay,,
Azerbaijan,AZ,GYG,G_yg_l,Azerbaijan - G_yg_l,,
Azerbaijan,AZ,HAC,Haciqabul,Azerbaijan - Haciqabul,,
Azerbaijan,AZ,IMI,Imisli,Azerbaijan - Imisli,,
Azerbaijan,AZ,ISM,Ismayilli,Azerbaijan - Ismayilli,,
Azerbaijan,AZ,KAL,K?lb?c?r,Azerbaijan - K?lb?c?r,,
Azerbaijan,AZ,KAN,K?ng?rli,Azerbaijan - K?ng?rli,,
Azerbaijan,AZ,KUR,Krd?mir,Azerbaijan - Krd?mir,,
Azerbaijan,AZ,LAC,Lain,Azerbaijan - Lain,,
Azerbaijan,AZ,LAN,L?nk?ran,Azerbaijan - L?nk?ran,,
Azerbaijan,AZ,LER,Lerik,Azerbaijan - Lerik,,
Azerbaijan,AZ,MAS,Masalli,Azerbaijan - Masalli,,
Azerbaijan,AZ,MI,Ming?evir,Azerbaijan - Ming?evir,,
Azerbaijan,AZ,NA,Naftalan,Azerbaijan - Naftalan,,
